ciphersuite,count,code_1sthalf,code_2ndhalf,code,cipher_y,dtls_ok,recommended,ref,key_exchange,mac,cipher,code_base10
0x39,3358,0x00,0x39,"0x00,0x39",TLS_DHE_RSA_WITH_AES_256_CBC_SHA,Y,N,[RFC5246],tls_dhe_rsa,sha,aes_256_cbc,57
0x9e,3234,0x00,0x9e,"0x00,0x9e",TLS_DHE_RSA_WITH_AES_128_GCM_SHA256,Y,Y,[RFC5288],tls_dhe_rsa,sha256,aes_128_gcm,158
0x9f,2797,0x00,0x9f,"0x00,0x9f",TLS_DHE_RSA_WITH_AES_256_GCM_SHA384,Y,Y,[RFC5288],tls_dhe_rsa,sha384,aes_256_gcm,159
0xc027,2794,0xc0,0x27,"0xc0,0x27",TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256,Y,N,[RFC5289],tls_dhe_rsa,sha256,aes_128_cbc,49191
0xc023,2782,0xc0,0x23,"0xc0,0x23",TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA256,Y,N,[RFC5289],tls_ecdhe_ecdsa,sha256,aes_128_cbc,49187
0x3c,2722,0x00,0x3c,"0x00,0x3c",TLS_RSA_WITH_AES_128_CBC_SHA256,Y,N,[RFC5246],tls_rsa,sha256,aes_128_cbc,60
0x1301,2631,0x13,0x01,"0x13,0x01",TLS_AES_128_GCM_SHA256,Y,Y,[RFC8446],tls_13,sha256,aes_128_gcm,4865
0x1302,2631,0x13,0x02,"0x13,0x02",TLS_AES_256_GCM_SHA384,Y,Y,[RFC8446],tls_13,sha384,aes_256_gcm,4866
0x1303,2629,0x13,0x03,"0x13,0x03",TLS_CHACHA20_POLY1305_SHA256,Y,Y,[RFC8446],tls_13,sha256,chacha20_poly1305,4867
0x32,2625,0x00,0x32,"0x00,0x32",TLS_DHE_DSS_WITH_AES_128_CBC_SHA,Y,N,[RFC5246],tls_dhe_dss,sha,aes_128_cbc,50
0xc024,2615,0xc0,0x24,"0xc0,0x24",TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA384,Y,N,[RFC5289],tls_ecdhe_ecdsa,sha384,aes_256_cbc,49188
0x3d,2608,0x00,0x3d,"0x00,0x3d",TLS_RSA_WITH_AES_256_CBC_SHA256,Y,N,[RFC5246],tls_rsa,sha256,aes_256_cbc,61
0xc028,2599,0xc0,0x28,"0xc0,0x28",TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384,Y,N,[RFC5289],tls_dhe_rsa,sha384,aes_256_cbc,49192
0x38,2563,0x00,0x38,"0x00,0x38",TLS_DHE_DSS_WITH_AES_256_CBC_SHA,Y,N,[RFC5246],tls_dhe_dss,sha,aes_256_cbc,56
0x67,2171,0x00,0x67,"0x00,0x67",TLS_DHE_RSA_WITH_AES_128_CBC_SHA256,Y,N,[RFC5246],tls_dhe_rsa,sha256,aes_128_cbc,103
0x6b,2077,0x00,0x6b,"0x00,0x6b",TLS_DHE_RSA_WITH_AES_256_CBC_SHA256,Y,N,[RFC5246],tls_dhe_rsa,sha256,aes_256_cbc,107
